frame,time_s,fused_u,fused_v,du_fused,dv_fused,radar_x,radar_y,radar_z,dx_radar,dy_radar,yolo_cx,yolo_cy,yolo_w,yolo_h,du_yolo,dv_yolo,range_m,vel_mps,confidence
109,13.827,368.5,785.2,0.0,0.0,-0.341,2.620,-0.107,0.002,0.004,1400.6,649.4,301.8,786.2,0.0,0.0,2.62,0.27,0.87
110,14.281,367.6,785.1,-0.9,-0.1,-0.338,2.629,-0.140,0.003,0.009,367.6,785.1,728.4,558.7,-1033.0,135.7,2.63,0.27,0.89
111,14.291,367.7,785.0,0.1,-0.1,-0.336,2.636,-0.166,0.002,0.007,367.7,785.0,728.6,557.6,0.1,-0.1,2.64,0.27,0.88
112,14.302,367.7,785.0,0.0,0.0,-0.334,2.642,-0.188,0.002,0.006,367.7,785.0,728.6,557.6,0.0,0.0,2.64,0.27,0.88
113,14.313,367.7,785.0,0.0,0.0,-0.332,2.647,-0.206,0.002,0.005,367.7,785.0,728.6,557.6,0.0,0.0,2.65,0.27,0.88
114,14.324,370.4,784.7,2.7,-0.2,-0.331,2.652,-0.223,0.001,0.005,370.4,784.7,725.1,557.6,2.7,-0.2,2.65,0.27,0.86
115,14.781,368.2,785.2,-2.2,0.4,-0.328,2.663,-0.261,0.003,0.011,368.2,785.2,729.6,558.0,-2.2,0.4,2.66,0.27,0.88
116,14.787,368.2,785.2,0.0,0.0,-0.326,2.671,-0.290,0.002,0.008,368.2,785.2,729.6,558.0,0.0,0.0,2.67,0.27,0.88
117,14.798,368.2,785.1,0.0,-0.1,-0.324,2.678,-0.314,0.002,0.007,368.2,785.1,727.3,557.8,0.0,-0.1,2.68,0.27,0.87
118,14.809,368.2,785.1,0.0,0.0,-0.323,2.684,-0.333,0.001,0.006,368.2,785.1,727.3,557.8,0.0,0.0,2.68,0.27,0.87
119,14.820,368.2,785.1,0.0,0.0,-0.321,2.689,-0.351,0.001,0.005,368.2,785.1,727.3,557.8,0.0,0.0,2.69,0.27,0.87
120,15.182,367.9,785.5,-0.3,0.4,-0.319,2.697,-0.380,0.002,0.009,367.9,785.5,729.0,558.2,-0.3,0.4,2.70,0.27,0.88
121,15.190,368.6,783.9,0.8,-1.5,-0.318,2.704,-0.404,0.002,0.007,368.6,783.9,730.5,555.8,0.8,-1.5,2.70,0.27,0.87
122,15.196,368.6,783.9,0.0,0.0,-0.316,2.710,-0.424,0.001,0.006,368.6,783.9,730.5,555.8,0.0,0.0,2.71,0.27,0.87
123,15.207,368.6,783.9,0.0,0.0,-0.315,2.715,-0.441,0.001,0.005,368.6,783.9,730.5,555.8,0.0,0.0,2.72,0.27,0.87
124,15.218,369.9,785.8,1.3,1.9,-0.314,2.720,-0.457,0.001,0.005,369.9,785.8,725.6,557.1,1.3,1.9,2.72,0.27,0.87
125,15.482,368.3,786.3,-1.6,0.5,-0.312,2.725,-0.477,0.001,0.006,368.2,784.0,729.6,556.1,-1.8,-1.8,2.73,0.27,0.87
126,15.484,368.2,784.0,-0.2,-2.3,-0.311,2.730,-0.494,0.001,0.005,368.2,784.0,729.6,556.1,0.0,0.0,2.73,0.27,0.88
127,15.494,368.2,784.0,0.0,0.0,-0.310,2.735,-0.510,0.001,0.005,368.2,784.0,729.6,556.1,0.0,0.0,2.73,0.27,0.88
128,15.681,367.7,785.3,-0.5,1.3,-0.309,2.740,-0.529,0.001,0.006,367.7,785.3,728.6,559.1,-0.5,1.3,2.74,0.27,0.88
129,15.688,368.6,785.3,0.9,0.1,-0.307,2.745,-0.546,0.001,0.005,368.6,785.3,729.8,559.0,0.9,0.1,2.75,0.27,0.87
130,15.699,368.6,785.3,0.0,0.0,-0.306,2.750,-0.562,0.001,0.005,368.6,785.3,729.8,559.0,0.0,0.0,2.75,0.27,0.87
131,16.181,368.5,785.7,-0.1,0.4,-0.263,2.759,-0.517,0.043,0.009,368.5,785.7,728.8,558.6,-0.1,0.4,2.76,0.21,0.88
132,16.183,368.5,785.7,0.0,0.0,-0.236,2.765,-0.489,0.027,0.006,368.5,785.7,728.8,558.6,0.0,0.0,2.77,0.18,0.88
133,16.431,368.0,785.7,-0.6,-0.1,-0.221,2.768,-0.478,0.015,0.003,1214.5,640.7,263.6,802.2,846.0,-145.0,2.77,0.15,0.88
134,16.437,368.0,785.7,0.0,0.0,-0.212,2.770,-0.473,0.009,0.002,1214.5,640.7,263.6,802.2,0.0,0.0,2.77,0.14,0.88
135,16.443,367.8,784.4,-0.2,-1.3,-0.207,2.771,-0.471,0.005,0.001,1207.1,641.9,271.8,811.3,-7.4,1.2,2.77,0.13,0.87
136,16.459,1207.1,641.9,839.3,-142.5,0.425,2.939,0.173,0.633,0.168,1207.1,641.9,271.8,811.3,0.0,0.0,2.94,0.14,0.88
137,16.470,1207.1,641.9,0.0,0.0,0.307,2.946,-0.033,-0.118,0.006,1207.1,641.9,271.8,811.3,0.0,0.0,2.95,0.13,0.88
138,16.485,1203.2,641.4,-3.9,-0.5,0.230,2.950,-0.168,-0.077,0.005,1203.2,641.4,274.1,813.6,-3.9,-0.5,2.95,0.11,0.88
139,16.931,1141.5,644.2,-61.6,2.8,0.182,2.956,-0.263,-0.048,0.006,368.1,785.6,729.4,558.4,-835.1,144.3,2.96,0.11,0.86
140,16.932,1141.5,644.2,0.0,0.0,0.151,2.960,-0.327,-0.031,0.004,368.1,785.6,729.4,558.4,0.0,0.0,2.96,0.10,0.86
141,16.942,1141.5,644.2,0.0,0.0,0.132,2.963,-0.369,-0.020,0.003,368.1,785.6,729.4,558.4,0.0,0.0,2.96,0.10,0.86
142,16.953,1121.1,639.8,-20.5,-4.4,0.119,2.966,-0.399,-0.013,0.003,368.9,784.7,726.6,557.6,0.8,-0.9,2.97,0.10,0.87
143,16.963,1121.1,639.8,0.0,0.0,0.111,2.968,-0.419,-0.008,0.002,368.9,784.7,726.6,557.6,0.0,0.0,2.97,0.09,0.87
144,16.974,1121.1,639.8,0.0,0.0,0.128,2.985,-0.482,0.016,0.016,368.9,784.7,726.6,557.6,0.0,0.0,2.98,0.11,0.87
145,17.431,1010.9,646.0,-110.2,6.2,0.140,3.012,-0.573,0.012,0.028,368.2,785.1,728.2,556.9,-0.7,0.4,3.01,0.12,0.82
146,17.436,1010.9,646.0,0.0,0.0,0.148,3.031,-0.635,0.008,0.019,368.2,785.1,728.2,556.9,0.0,0.0,3.03,0.13,0.82
147,17.881,991.3,633.0,-19.6,-13.0,0.127,3.018,-0.642,-0.020,-0.013,368.3,785.4,727.7,558.4,0.1,0.3,3.02,0.12,0.83
148,17.886,991.3,633.0,0.0,0.0,0.107,2.988,-0.627,-0.020,-0.030,368.3,785.4,727.7,558.4,0.0,0.0,2.99,0.11,0.83
149,17.894,971.8,623.7,-19.5,-9.3,0.093,2.953,-0.596,-0.015,-0.035,367.6,785.5,726.9,557.8,-0.8,0.1,2.95,0.09,0.83
150,17.904,971.8,623.7,0.0,0.0,0.081,2.917,-0.546,-0.012,-0.036,367.6,785.5,726.9,557.8,0.0,0.0,2.92,0.07,0.83
151,17.916,971.8,623.7,0.0,0.0,0.070,2.883,-0.519,-0.011,-0.034,367.6,785.5,726.9,557.8,0.0,0.0,2.88,0.06,0.83
152,17.928,971.8,623.7,0.0,0.0,0.063,2.861,-0.502,-0.007,-0.023,367.6,785.5,726.9,557.8,0.0,0.0,2.86,0.06,0.83
153,18.385,825.5,625.6,-146.3,1.9,-0.032,3.421,-0.389,-0.096,0.560,825.5,625.6,270.3,817.6,457.9,-159.8,3.42,0.04,0.85
154,18.582,812.0,625.2,-13.5,-0.4,-0.095,3.785,-0.315,-0.062,0.364,812.0,625.2,233.9,810.8,-13.5,-0.4,3.79,0.02,0.83
155,18.587,812.0,625.2,0.0,0.0,-0.152,3.673,-0.161,-0.058,-0.112,812.0,625.2,233.9,810.8,0.0,0.0,3.67,0.02,0.83
156,18.595,814.5,625.9,2.5,0.6,-0.173,3.949,-0.167,-0.020,0.276,814.5,625.9,228.1,812.5,2.5,0.6,3.95,0.01,0.81
157,18.605,814.5,625.9,0.0,0.0,-0.212,3.773,-0.047,-0.039,-0.175,814.5,625.9,228.1,812.5,0.0,0.0,3.77,0.01,0.81
158,18.616,814.5,625.9,0.0,0.0,-0.236,3.659,0.027,-0.025,-0.114,814.5,625.9,228.1,812.5,0.0,0.0,3.66,0.01,0.81
