frame,time_s,fused_u,fused_v,du_fused,dv_fused,radar_x,radar_y,radar_z,dx_radar,dy_radar,yolo_cx,yolo_cy,yolo_w,yolo_h,du_yolo,dv_yolo,range_m,vel_mps,confidence
112,12.256,1051.9,414.7,-35.0,-31.8,0.741,2.459,1.110,-0.284,0.032,1165.4,630.7,293.5,764.4,0.0,0.0,2.46,0.23,0.87
113,12.309,1091.4,433.0,39.5,18.4,1.040,2.423,0.936,0.299,-0.036,1176.4,635.4,273.8,759.6,11.0,4.7,2.42,0.30,0.83
114,12.357,1083.2,550.8,-8.2,117.8,0.935,2.535,0.183,-0.104,0.111,1176.4,635.4,273.8,759.6,0.0,0.0,2.53,0.64,0.83
115,12.407,1436.1,851.4,352.9,300.6,2.443,1.533,-1.514,1.508,-1.001,1179.7,636.2,263.7,762.3,3.3,0.7,1.53,0.59,0.67
116,12.458,1093.1,589.8,-343.1,-261.6,0.993,2.430,-0.219,-1.451,0.897,1175.6,634.3,267.5,763.6,-4.1,-1.9,2.43,0.22,0.83
117,12.511,1041.9,410.4,-51.2,-179.4,0.653,2.523,1.121,-0.340,0.093,1177.3,634.9,255.0,760.6,1.7,0.6,2.52,0.48,0.80
118,12.561,1088.3,560.1,46.4,149.8,0.961,2.554,0.053,0.308,0.031,1150.1,636.5,248.9,760.9,-27.2,1.6,2.55,0.37,0.80
119,12.609,1041.7,597.5,-46.7,37.4,0.598,2.381,-0.424,-0.363,-0.173,1150.1,636.5,248.9,760.9,0.0,0.0,2.38,0.00,0.81
120,12.657,1053.8,526.9,12.2,-70.6,0.743,2.420,0.214,0.145,0.038,1121.8,634.8,252.8,756.2,-28.3,-1.7,2.42,0.03,0.83
121,12.705,1049.6,541.7,-4.3,14.8,0.721,2.700,0.104,-0.023,0.280,1095.5,631.2,236.5,751.1,-26.2,-3.6,2.70,0.59,0.84
122,12.756,1023.7,537.3,-25.9,-4.4,0.457,2.504,-0.026,-0.264,-0.196,1074.9,637.6,238.7,760.4,-20.6,6.3,2.50,0.06,0.84
123,12.806,1033.9,544.0,10.2,6.7,0.516,2.333,-0.076,0.059,-0.171,1068.9,636.4,235.5,762.3,-6.0,-1.2,2.33,0.20,0.85
124,12.856,1030.8,537.2,-3.1,-6.7,0.499,2.233,0.040,-0.017,-0.100,1062.5,637.0,236.9,762.8,-6.4,0.6,2.23,0.05,0.85
125,12.907,1002.1,542.0,-28.7,4.8,0.345,2.654,0.058,-0.153,0.421,1051.0,636.1,243.8,757.5,-11.5,-0.9,2.65,-0.00,0.84
126,12.959,997.7,586.7,-4.4,44.7,0.263,2.574,-0.456,-0.082,-0.080,1042.8,630.5,245.5,745.9,-8.2,-5.6,2.57,-0.23,0.85
127,13.007,985.3,617.0,-12.4,30.3,0.189,2.345,-0.566,-0.075,-0.229,1034.9,635.7,247.6,755.4,-8.0,5.2,2.35,-0.20,0.84
128,13.059,974.5,643.7,-10.8,26.7,0.121,2.920,-0.919,-0.068,0.575,1025.7,635.8,245.1,755.6,-9.1,0.1,2.92,-0.44,0.82
129,13.107,958.5,648.5,-16.0,4.7,-0.009,2.581,-0.834,-0.129,-0.338,1022.9,635.3,236.1,753.9,-2.8,-0.4,2.58,-0.36,0.82
130,13.158,972.5,660.0,14.0,11.6,0.106,2.492,-0.883,0.115,-0.089,1022.9,635.3,236.1,753.9,0.0,0.0,2.49,-0.38,0.82
131,13.208,955.4,605.0,-17.0,-55.0,-0.034,2.615,-0.477,-0.140,0.123,1005.0,634.7,261.0,755.2,-17.9,-0.6,2.62,-0.18,0.79
132,13.256,959.2,615.3,3.8,10.3,0.001,2.649,-0.589,0.035,0.034,996.2,642.1,275.6,748.4,-8.8,7.4,2.65,-0.53,0.81
133,13.307,959.9,560.7,0.7,-54.6,0.007,2.660,-0.089,0.006,0.011,992.5,640.5,284.0,753.7,-3.7,-1.6,2.66,-0.27,0.82
